marketing_airline,marketing_airline_name,market,total_orders,void_orders,free_cancel_24h_orders,void_or_24h_orders
AA,AMERICAN AIRLINES,,31,0,0,0
AA,AMERICAN AIRLINES,AE,120,94,18,112
AA,AMERICAN AIRLINES,AR,1,1,0,1
AA,AMERICAN AIRLINES,AT,6,2,2,4
AA,AMERICAN AIRLINES,AU,1000,680,234,914
AA,AMERICAN AIRLINES,AZ,13,10,3,13
AA,AMERICAN AIRLINES,BE,11,7,4,11
AA,AMERICAN AIRLINES,BH,2,0,2,2
AA,AMERICAN AIRLINES,BR,190,132,39,171
AA,AMERICAN AIRLINES,BY,2,0,2,2
AA,AMERICAN AIRLINES,CA,661,530,86,616
AA,AMERICAN AIRLINES,CH,17,14,2,16
AA,AMERICAN AIRLINES,CN,67,44,16,60
AA,AMERICAN AIRLINES,CO,5,3,2,5
AA,AMERICAN AIRLINES,CZ,2,1,1,2
AA,AMERICAN AIRLINES,DE,327,216,84,300
AA,AMERICAN AIRLINES,ES,1487,1227,156,1383
AA,AMERICAN AIRLINES,FI,1,1,0,1
AA,AMERICAN AIRLINES,FR,657,502,114,616
AA,AMERICAN AIRLINES,GB,4488,3204,1003,4207
AA,AMERICAN AIRLINES,GR,1,0,0,0
AA,AMERICAN AIRLINES,HK,2947,2167,471,2638
AA,AMERICAN AIRLINES,ID,221,143,63,206
AA,AMERICAN AIRLINES,IE,17,12,2,14
AA,AMERICAN AIRLINES,IL,1,1,0,1
AA,AMERICAN AIRLINES,IN,238,213,14,227
AA,AMERICAN AIRLINES,IT,236,171,46,217
AA,AMERICAN AIRLINES,JP,4800,3593,830,4423
AA,AMERICAN AIRLINES,KR,1871,1260,496,1756
AA,AMERICAN AIRLINES,KW,2,2,0,2
AA,AMERICAN AIRLINES,KZ,45,19,22,41
AA,AMERICAN AIRLINES,MX,132,103,18,121
AA,AMERICAN AIRLINES,MY,238,170,47,217
AA,AMERICAN AIRLINES,NL,121,92,21,113
AA,AMERICAN AIRLINES,NZ,33,24,5,29
AA,AMERICAN AIRLINES,PH,295,209,42,251
AA,AMERICAN AIRLINES,PK,28,19,6,25
AA,AMERICAN AIRLINES,PL,23,13,8,21
AA,AMERICAN AIRLINES,PT,8,4,3,7
AA,AMERICAN AIRLINES,QA,16,9,3,12
AA,AMERICAN AIRLINES,RU,918,729,136,865
AA,AMERICAN AIRLINES,SA,147,119,17,136
AA,AMERICAN AIRLINES,SE,11,8,2,10
AA,AMERICAN AIRLINES,SG,393,284,72,356
AA,AMERICAN AIRLINES,TH,535,374,124,498
AA,AMERICAN AIRLINES,TR,55,44,6,50
AA,AMERICAN AIRLINES,TW,900,616,188,804
AA,AMERICAN AIRLINES,UA,10,5,2,7
AA,AMERICAN AIRLINES,US,10761,7867,1985,9852
AA,AMERICAN AIRLINES,VN,161,105,42,147
AC,AIR CANADA,,43,0,0,0
AC,AIR CANADA,AE,87,34,49,83
AC,AIR CANADA,AR,59,35,21,56
AC,AIR CANADA,AT,22,8,13,21
AC,AIR CANADA,AU,1333,571,721,1292
AC,AIR CANADA,BE,85,50,34,84
AC,AIR CANADA,BR,793,310,456,766
AC,AIR CANADA,CA,9986,3081,5827,8908
AC,AIR CANADA,CH,85,41,42,83
AC,AIR CANADA,CN,102,54,39,93
AC,AIR CANADA,CO,41,23,16,39
AC,AIR CANADA,CZ,9,2,7,9
AC,AIR CANADA,DE,1507,774,689,1463
AC,AIR CANADA,DK,8,5,2,7
AC,AIR CANADA,ES,1020,496,478,974
AC,AIR CANADA,FR,2912,1257,1544,2801
AC,AIR CANADA,GB,9864,4580,4987,9567
AC,AIR CANADA,GR,23,14,9,23
