checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price_after_promo,currency
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2232,01:50,03:15,EcoFly,3005.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2232,01:50,03:15,ExtraFly,3705.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2232,01:50,03:15,PrimeFly,4005.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2232,01:50,03:15,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2010,06:30,07:55,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2010,06:30,07:55,ExtraFly,5305.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2010,06:30,07:55,PrimeFly,5605.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2010,06:30,07:55,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2012,08:25,09:55,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2012,08:25,09:55,ExtraFly,5305.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2012,08:25,09:55,PrimeFly,5605.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2012,08:25,09:55,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2014,11:00,12:30,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2014,11:00,12:30,ExtraFly,5305.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2014,11:00,12:30,PrimeFly,5605.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2014,11:00,12:30,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2016,13:00,14:25,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2016,13:00,14:25,ExtraFly,5305.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2016,13:00,14:25,PrimeFly,5605.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2016,13:00,14:25,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2024,14:35,16:00,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2024,14:35,16:00,ExtraFly,5305.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2024,14:35,16:00,PrimeFly,5605.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2024,14:35,16:00,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2018,16:05,17:30,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2018,16:05,17:30,ExtraFly,5305.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2018,16:05,17:30,PrimeFly,5605.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2018,16:05,17:30,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2020,18:35,20:00,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2020,18:35,20:00,ExtraFly,5305.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2020,18:35,20:00,PrimeFly,5605.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2020,18:35,20:00,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2022,20:20,21:45,EcoFly,3705.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2022,20:20,21:45,ExtraFly,4405.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2022,20:20,21:45,PrimeFly,4705.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2022,20:20,21:45,Business,8663.43,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2026,21:40,23:05,EcoFly,3355.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2026,21:40,23:05,ExtraFly,4055.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2026,21:40,23:05,PrimeFly,4355.73,TRY
2026-05-18,2026-09-21,OW,1,IST,ASR,TK2026,21:40,23:05,Business,8663.43,TRY
