checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price_after_promo,currency
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2746,08:15,10:25,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2746,08:15,10:25,ExtraFly,5115.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2746,08:15,10:25,PrimeFly,5340.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2748,11:35,13:40,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2748,11:35,13:40,ExtraFly,5115.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2748,11:35,13:40,PrimeFly,5340.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2750,14:30,16:40,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2750,14:30,16:40,ExtraFly,5115.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2750,14:30,16:40,PrimeFly,5340.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2752,17:20,19:25,EcoFly,4505.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2752,17:20,19:25,ExtraFly,5115.73,TRY
2026-05-18,2026-09-21,OW,1,IST,VAN,TK2752,17:20,19:25,PrimeFly,5340.73,TRY
