checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price,currency
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH849,12:15a.m.,4:35a.m.,Economy Standard,1299.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH849,12:15a.m.,4:35a.m.,Economy Standard,1360.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH849,12:15a.m.,4:35a.m.,Economy Standard,3066.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH877,1:25a.m.,5:55a.m.,Economy Standard,1299.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH877,1:25a.m.,5:55a.m.,Economy Standard,1360.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH877,1:25a.m.,5:55a.m.,Economy Standard,3066.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH847,10:50a.m.,3:30p.m.,Economy Standard,1348.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH847,10:50a.m.,3:30p.m.,Economy Standard,1410.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH847,10:50a.m.,3:30p.m.,Economy Standard,3112.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH5965,12:20a.m.,4:50a.m.,Economy Standard,1694.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH5965,12:20a.m.,4:50a.m.,Economy Standard,1762.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH5965,12:20a.m.,4:50a.m.,Economy Standard,3113.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH5599,10:35a.m.,3:05p.m.,Economy Standard,1694.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH813,1:35a.m.,9:30a.m.,Economy Standard,1580.40,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH813,1:35a.m.,9:30a.m.,Economy Standard,1648.40,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH813,1:35a.m.,9:30a.m.,Economy Standard,3015.40,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH859,8:35a.m.,4:30p.m.,Economy Standard,1598.00,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH859,8:35a.m.,4:30p.m.,Economy Standard,1666.00,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH859,8:35a.m.,4:30p.m.,Economy Standard,3033.00,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH813,1:35a.m.,10:00a.m.,Economy Standard,1567.00,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,BKK,NH813,1:35a.m.,10:00a.m.,Economy Standard,1635.00,USD
