checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price,currency
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,3052.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1605.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,1405.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,1475.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,3076.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,2082.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,1740.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,1802.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,3076.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,2082.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6257,5:05p.m.,11:05p.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6257,5:05p.m.,11:05p.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6251,10:55p.m.,5:25a.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6251,10:55p.m.,5:25a.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,1759.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,1820.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,3281.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,2110.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH885,11:30p.m.,9:05a.m.,Economy Standard,1466.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH885,11:30p.m.,9:05a.m.,Economy Standard,1512.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH859,8:35a.m.,6:20p.m.,Economy Standard,1614.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH859,8:35a.m.,6:20p.m.,Economy Standard,1675.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH877,1:25a.m.,11:15a.m.,Economy Standard,1769.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH877,1:25a.m.,11:15a.m.,Economy Standard,1830.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH813,1:35a.m.,11:45a.m.,Economy Standard,1652.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH813,1:35a.m.,11:45a.m.,Economy Standard,1713.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,1829.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,1890.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,3351.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,2180.30,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6271,6:45a.m.,3:00p.m.,Economy Standard,1390.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6271,6:45a.m.,3:00p.m.,Economy Standard,1452.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6271,6:35a.m.,3:00p.m.,Economy Standard,1390.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH6271,6:35a.m.,3:00p.m.,Economy Standard,1452.70,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH5333,2:55p.m.,11:35p.m.,Economy Standard,1810.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH5333,2:55p.m.,11:35p.m.,Economy Standard,1872.10,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH5331,2:05a.m.,11:10a.m.,Economy Standard,1725.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH5331,2:05a.m.,11:10a.m.,Economy Standard,1787.50,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH5599,10:35a.m.,7:40p.m.,Economy Standard,1831.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH5965,12:20a.m.,11:15a.m.,Economy Standard,1831.90,USD
2026-07-21,Aug 14 (Fri),OW,1,HND,SIN,NH5965,12:20a.m.,11:15a.m.,Economy Standard,1893.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,3052.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1605.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,1405.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,1475.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,3076.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,2082.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,1740.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,1802.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,3076.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,2082.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6257,5:05p.m.,11:05p.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6257,5:05p.m.,11:05p.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6251,10:55p.m.,5:25a.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6251,10:55p.m.,5:25a.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,1759.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,1820.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,3281.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,2110.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH885,11:30p.m.,9:05a.m.,Economy Standard,1466.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH885,11:30p.m.,9:05a.m.,Economy Standard,1512.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH859,8:35a.m.,6:20p.m.,Economy Standard,1614.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH859,8:35a.m.,6:20p.m.,Economy Standard,1675.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH877,1:25a.m.,11:15a.m.,Economy Standard,1769.50,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH877,1:25a.m.,11:15a.m.,Economy Standard,1830.50,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH813,1:35a.m.,11:45a.m.,Economy Standard,1652.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH813,1:35a.m.,11:45a.m.,Economy Standard,1713.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,1829.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,1890.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,3351.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,2180.30,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6271,6:45a.m.,3:00p.m.,Economy Standard,1390.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6271,6:45a.m.,3:00p.m.,Economy Standard,1452.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6271,6:35a.m.,3:00p.m.,Economy Standard,1390.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH6271,6:35a.m.,3:00p.m.,Economy Standard,1452.70,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH5333,2:55p.m.,11:35p.m.,Economy Standard,1810.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH5333,2:55p.m.,11:35p.m.,Economy Standard,1872.10,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH5331,2:05a.m.,11:10a.m.,Economy Standard,1725.50,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH5331,2:05a.m.,11:10a.m.,Economy Standard,1787.50,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH5599,10:35a.m.,7:40p.m.,Economy Standard,1831.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH5965,12:20a.m.,11:15a.m.,Economy Standard,1831.90,USD
2026-07-21,Aug 15 (Sat),OW,1,HND,SIN,NH5965,12:20a.m.,11:15a.m.,Economy Standard,1893.90,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,3052.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1605.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,1405.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,1475.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,3076.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,2082.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,1740.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,1802.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,3076.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,2082.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6257,5:05p.m.,11:05p.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6257,5:05p.m.,11:05p.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6251,10:55p.m.,5:25a.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6251,10:55p.m.,5:25a.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,1759.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,1820.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,3281.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,2110.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH885,11:30p.m.,9:05a.m.,Economy Standard,1466.10,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH885,11:30p.m.,9:05a.m.,Economy Standard,1512.10,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH859,8:35a.m.,6:20p.m.,Economy Standard,1614.70,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH859,8:35a.m.,6:20p.m.,Economy Standard,1675.70,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH877,1:25a.m.,11:15a.m.,Economy Standard,1769.50,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH877,1:25a.m.,11:15a.m.,Economy Standard,1830.50,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH813,1:35a.m.,11:45a.m.,Economy Standard,1652.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH813,1:35a.m.,11:45a.m.,Economy Standard,1713.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,1829.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,1890.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,3351.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH855,10:15a.m.,8:30p.m.,Economy Standard,2180.30,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6271,6:45a.m.,3:00p.m.,Economy Standard,1390.70,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6271,6:45a.m.,3:00p.m.,Economy Standard,1452.70,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6271,6:35a.m.,3:00p.m.,Economy Standard,1390.70,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH6271,6:35a.m.,3:00p.m.,Economy Standard,1452.70,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH5333,2:55p.m.,11:35p.m.,Economy Standard,1810.10,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH5333,2:55p.m.,11:35p.m.,Economy Standard,1872.10,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH5331,2:05a.m.,11:10a.m.,Economy Standard,1725.50,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH5331,2:05a.m.,11:10a.m.,Economy Standard,1787.50,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH5599,10:35a.m.,7:40p.m.,Economy Standard,1831.90,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH5965,12:20a.m.,11:15a.m.,Economy Standard,1831.90,USD
2026-07-21,Aug 16 (Sun),OW,1,HND,SIN,NH5965,12:20a.m.,11:15a.m.,Economy Standard,1893.90,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,3052.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH843,12:40a.m.,6:40a.m.,Economy Standard,1605.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,1405.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,1475.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,3076.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH841,10:55a.m.,5:15p.m.,Economy Standard,2082.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,1740.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,1802.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,3076.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH6259,8:55a.m.,3:00p.m.,Economy Standard,2082.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH6257,5:05p.m.,11:05p.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH6257,5:05p.m.,11:05p.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH6251,10:55p.m.,5:25a.m.,Economy Standard,1389.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH6251,10:55p.m.,5:25a.m.,Economy Standard,1451.80,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,1759.30,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,1820.30,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,3281.30,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH855,10:15a.m.,7:50p.m.,Economy Standard,2110.30,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH885,11:30p.m.,9:05a.m.,Economy Standard,1466.10,USD
2026-07-21,Aug 17 (Mon),OW,1,HND,SIN,NH885,11:30p.m.,9:05a.m.,Economy Standard,1512.10,USD
