checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price,currency
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH968,1:50a.m.,5:45a.m.,Economy Standard,607.20,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH968,1:50a.m.,5:45a.m.,Economy Standard,1050.20,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH968,1:50a.m.,5:45a.m.,Economy Standard,1539.20,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH972,8:25a.m.,12:25p.m.,Economy Standard,829.20,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH972,8:25a.m.,12:25p.m.,Economy Standard,1072.20,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH972,8:25a.m.,12:25p.m.,Economy Standard,1539.20,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3826,11:35a.m.,6:45p.m.,Economy Standard,628.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3826,11:35a.m.,6:45p.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3826,11:35a.m.,6:45p.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3828,11:35a.m.,7:55p.m.,Economy Standard,628.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3828,11:35a.m.,7:55p.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3828,11:35a.m.,7:55p.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH038,11:35a.m.,8:20p.m.,Economy Standard,811.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH038,11:35a.m.,8:20p.m.,Economy Standard,1055.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH038,11:35a.m.,8:20p.m.,Economy Standard,1544.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH040,11:35a.m.,9:35p.m.,Economy Standard,627.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH040,11:35a.m.,9:35p.m.,Economy Standard,1055.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH040,11:35a.m.,9:35p.m.,Economy Standard,1544.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH098,11:35a.m.,10:20p.m.,Economy Standard,628.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH098,11:35a.m.,10:20p.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH098,11:35a.m.,10:20p.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH416,11:35a.m.,10:30p.m.,Economy Standard,626.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH416,11:35a.m.,10:30p.m.,Economy Standard,1054.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH416,11:35a.m.,10:30p.m.,Economy Standard,1543.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH990,6:20p.m.,7:55a.m.,Economy Standard,613.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH990,6:20p.m.,7:55a.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH990,6:20p.m.,7:55a.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH094,6:20p.m.,8:10a.m.,Economy Standard,613.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH094,6:20p.m.,8:10a.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH094,6:20p.m.,8:10a.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH986,6:20p.m.,8:15a.m.,Economy Standard,612.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH986,6:20p.m.,8:15a.m.,Economy Standard,1055.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH986,6:20p.m.,8:15a.m.,Economy Standard,1544.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH412,6:20p.m.,8:15a.m.,Economy Standard,611.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH412,6:20p.m.,8:15a.m.,Economy Standard,1054.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH412,6:20p.m.,8:15a.m.,Economy Standard,1543.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH014,6:20p.m.,8:45a.m.,Economy Standard,612.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH014,6:20p.m.,8:45a.m.,Economy Standard,1055.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH014,6:20p.m.,8:45a.m.,Economy Standard,1544.10,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3822,6:20p.m.,12:20p.m.,Economy Standard,613.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3822,6:20p.m.,12:20p.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH3822,6:20p.m.,12:20p.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH990,11:35a.m.,7:55a.m.,Economy Standard,628.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH990,11:35a.m.,7:55a.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH990,11:35a.m.,7:55a.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH412,11:35a.m.,8:15a.m.,Economy Standard,626.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH412,11:35a.m.,8:15a.m.,Economy Standard,1054.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH412,11:35a.m.,8:15a.m.,Economy Standard,1543.80,USD
2026-07-21,Aug 14 (Fri),OW,1,PVG,HND,NH412,11:35a.m.,8:15a.m.,Economy Flex,607.20,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH968,1:50a.m.,5:45a.m.,Economy Standard,607.20,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH968,1:50a.m.,5:45a.m.,Economy Standard,1050.20,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH968,1:50a.m.,5:45a.m.,Economy Standard,1539.20,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH972,8:25a.m.,12:25p.m.,Economy Standard,829.20,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH972,8:25a.m.,12:25p.m.,Economy Standard,1072.20,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH972,8:25a.m.,12:25p.m.,Economy Standard,1539.20,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH3826,11:35a.m.,6:45p.m.,Economy Standard,628.40,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH3826,11:35a.m.,6:45p.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH3826,11:35a.m.,6:45p.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH3828,11:35a.m.,7:55p.m.,Economy Standard,628.40,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH3828,11:35a.m.,7:55p.m.,Economy Standard,1056.40,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH3828,11:35a.m.,7:55p.m.,Economy Standard,1545.40,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH038,11:35a.m.,8:20p.m.,Economy Standard,811.10,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH038,11:35a.m.,8:20p.m.,Economy Standard,1055.10,USD
2026-07-21,Aug 15 (Sat),OW,1,PVG,HND,NH038,11:35a.m.,8:20p.m.,Economy Standard,1544.10,USD
