checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price,currency
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1036.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1079.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1794.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1082.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1125.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1824.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH869,9:45a.m.,8:15p.m.,Economy Standard,2262.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH869,9:45a.m.,10:55p.m.,Economy Standard,2262.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5331,2:05a.m.,12:35p.m.,Economy Standard,2309.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5331,2:05a.m.,1:15p.m.,Economy Standard,2262.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5333,2:55p.m.,7:50a.m.,Economy Standard,2262.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5329,7:25a.m.,5:00p.m.,Economy Standard,2371.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5329,7:25a.m.,8:15p.m.,Economy Standard,2324.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5313,12:00p.m.,7:50a.m.,Economy Standard,2324.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5327,11:30a.m.,7:50a.m.,Economy Standard,2315.00,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5327,10:15a.m.,7:50a.m.,Economy Standard,2315.00,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5327,10:15a.m.,7:50a.m.,Economy Flex,1036.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1036.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1079.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1621.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1082.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1125.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1652.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH869,9:45a.m.,8:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH869,9:45a.m.,10:55p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5331,2:05a.m.,10:05a.m.,Economy Standard,2102.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5331,2:05a.m.,1:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5333,2:55p.m.,7:50a.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5329,7:25a.m.,5:00p.m.,Economy Standard,2156.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5329,7:25a.m.,8:15p.m.,Economy Standard,2109.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5313,12:00p.m.,7:50a.m.,Economy Standard,2109.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5327,11:30a.m.,7:50a.m.,Economy Standard,2100.00,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5327,10:15a.m.,7:50a.m.,Economy Standard,2100.00,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5327,10:15a.m.,7:50a.m.,Economy Flex,1036.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1036.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1079.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1621.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1082.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1125.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1652.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH869,9:45a.m.,8:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH869,9:45a.m.,10:00p.m.,Economy Standard,2102.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5331,2:05a.m.,10:05a.m.,Economy Standard,2102.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5331,2:05a.m.,1:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5333,2:55p.m.,7:50a.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5313,12:00p.m.,10:00p.m.,Economy Standard,2156.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5327,11:30a.m.,10:00p.m.,Economy Standard,2147.00,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5327,10:15a.m.,10:00p.m.,Economy Standard,2147.00,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5327,10:15a.m.,10:00p.m.,Economy Standard,2147.00,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5313,10:00a.m.,10:00p.m.,Economy Standard,2155.20,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5313,10:00a.m.,10:00p.m.,Economy Flex,1036.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1036.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1079.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1621.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1082.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1125.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1652.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH869,9:45a.m.,8:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH869,9:45a.m.,10:00p.m.,Economy Standard,2102.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5331,2:05a.m.,10:05a.m.,Economy Standard,2102.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5331,2:05a.m.,1:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5333,2:55p.m.,7:50a.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5313,12:00p.m.,10:00p.m.,Economy Standard,2156.50,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5327,11:30a.m.,10:00p.m.,Economy Standard,2147.00,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5327,10:15a.m.,10:00p.m.,Economy Standard,2147.00,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5327,10:15a.m.,10:00p.m.,Economy Standard,2147.00,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5313,10:00a.m.,10:00p.m.,Economy Standard,2155.20,USD
2026-07-21,Oct 9 (Fri),OW,1,HND,HKG,NH5313,10:00a.m.,10:00p.m.,Economy Flex,1036.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1036.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1079.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1621.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1082.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1125.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1652.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH869,9:45a.m.,8:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH869,9:45a.m.,10:55p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5331,2:05a.m.,10:05a.m.,Economy Standard,2102.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5331,2:05a.m.,1:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5333,2:55p.m.,7:50a.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5329,7:25a.m.,5:00p.m.,Economy Standard,2156.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5329,7:25a.m.,8:15p.m.,Economy Standard,2109.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5313,12:00p.m.,7:50a.m.,Economy Standard,2109.50,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5327,11:30a.m.,7:50a.m.,Economy Standard,2100.00,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5327,10:15a.m.,7:50a.m.,Economy Standard,2100.00,USD
2026-07-21,Oct 10 (Sat),OW,1,HND,HKG,NH5327,10:15a.m.,7:50a.m.,Economy Flex,1036.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1036.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1079.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1794.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1082.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1125.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1824.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH869,9:45a.m.,8:15p.m.,Economy Standard,2262.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH869,9:45a.m.,10:55p.m.,Economy Standard,2262.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5331,2:05a.m.,12:35p.m.,Economy Standard,2309.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5331,2:05a.m.,1:15p.m.,Economy Standard,2262.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5333,2:55p.m.,7:50a.m.,Economy Standard,2262.10,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5329,7:25a.m.,5:00p.m.,Economy Standard,2371.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5329,7:25a.m.,8:15p.m.,Economy Standard,2324.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5313,12:00p.m.,7:50a.m.,Economy Standard,2324.50,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5327,11:30a.m.,7:50a.m.,Economy Standard,2315.00,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5327,10:15a.m.,7:50a.m.,Economy Standard,2315.00,USD
2026-07-21,Oct 12 (Mon),OW,1,HND,HKG,NH5327,10:15a.m.,7:50a.m.,Economy Flex,1036.50,USD
2026-07-21,Oct 15 (Thu),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1036.50,USD
2026-07-21,Oct 15 (Thu),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1079.50,USD
2026-07-21,Oct 15 (Thu),OW,1,HND,HKG,NH813,1:35a.m.,5:15a.m.,Economy Standard,1621.50,USD
2026-07-21,Oct 15 (Thu),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1082.50,USD
2026-07-21,Oct 15 (Thu),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1125.50,USD
2026-07-21,Oct 15 (Thu),OW,1,HND,HKG,NH859,8:35a.m.,12:25p.m.,Economy Standard,1652.50,USD
2026-07-21,Oct 15 (Thu),OW,1,HND,HKG,NH869,9:45a.m.,8:15p.m.,Economy Standard,2055.10,USD
2026-07-21,Oct 15 (Thu),OW,1,HND,HKG,NH869,9:45a.m.,10:55p.m.,Economy Standard,2055.10,USD
