checking_date,departing_date,trip_type,pax_count,departing_airport,arriving_airport,flight,departing_time,arrival_time,fare_name,price_after_promo,currency
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2408,06:20,07:45,EcoFly,4506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2408,06:20,07:45,ExtraFly,5226.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2408,06:20,07:45,PrimeFly,5506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2408,06:20,07:45,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2410,08:25,09:50,EcoFly,4996.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2410,08:25,09:50,ExtraFly,5716.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2410,08:25,09:50,PrimeFly,5996.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2410,08:25,09:50,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2412,09:40,11:05,EcoFly,6996.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2412,09:40,11:05,ExtraFly,7716.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2412,09:40,11:05,PrimeFly,7996.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2412,09:40,11:05,Business,18191.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2414,10:40,12:05,EcoFly,6996.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2414,10:40,12:05,ExtraFly,7716.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2414,10:40,12:05,PrimeFly,7996.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2414,10:40,12:05,Business,18191.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2416,11:35,13:00,EcoFly,6996.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2416,11:35,13:00,ExtraFly,7716.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2416,11:35,13:00,PrimeFly,7996.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2416,11:35,13:00,Business,18191.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2418,12:40,14:05,EcoFly,5596.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2418,12:40,14:05,ExtraFly,6316.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2418,12:40,14:05,PrimeFly,6596.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2418,12:40,14:05,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2422,14:15,15:50,EcoFly,4506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2422,14:15,15:50,ExtraFly,5226.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2422,14:15,15:50,PrimeFly,5506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2422,14:15,15:50,Business,18191.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2424,15:10,16:35,EcoFly,4506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2424,15:10,16:35,ExtraFly,5226.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2424,15:10,16:35,PrimeFly,5506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2424,15:10,16:35,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2426,16:30,17:55,EcoFly,4506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2426,16:30,17:55,ExtraFly,5226.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2426,16:30,17:55,PrimeFly,5506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2426,16:30,17:55,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2428,17:35,19:00,EcoFly,3706.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2428,17:35,19:00,ExtraFly,4356.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2428,17:35,19:00,PrimeFly,4606.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2428,17:35,19:00,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2430,17:45,19:10,EcoFly,4506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2430,17:45,19:10,ExtraFly,5226.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2430,17:45,19:10,PrimeFly,5506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2430,17:45,19:10,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2446,18:15,19:40,EcoFly,3706.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2446,18:15,19:40,ExtraFly,4356.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2446,18:15,19:40,PrimeFly,4606.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2446,18:15,19:40,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2442,19:20,20:50,EcoFly,4506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2442,19:20,20:50,ExtraFly,5226.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2442,19:20,20:50,PrimeFly,5506.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2442,19:20,20:50,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2432,20:15,21:40,EcoFly,3706.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2432,20:15,21:40,ExtraFly,4356.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2432,20:15,21:40,PrimeFly,4606.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2432,20:15,21:40,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2434,21:10,22:40,EcoFly,3706.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2434,21:10,22:40,ExtraFly,4356.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2434,21:10,22:40,PrimeFly,4606.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2434,21:10,22:40,Business,11302.17,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2438,23:55,01:15,EcoFly,3706.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2438,23:55,01:15,ExtraFly,4356.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2438,23:55,01:15,PrimeFly,4606.47,TRY
2026-06-17,2026-08-17,OW,2,IST,AYT,TK2438,23:55,01:15,Business,11302.17,TRY
